Component Group,Element,Purpose,Current Shared Component or Source,Current State,Should Be Standardized,Notes
App Shell,App background,Global page backdrop,"app/globals.css + assets/css/tokens.css",Mixed,Yes,"Needs one token-driven source of truth"
App Shell,Content background,Surface behind page content,"app/layout.tsx + tokens",Mixed,Yes,"Should be globally controllable later"
App Shell,Sidebar background,Navigation shell surface,"app/layout.tsx inline styles + tokens",Legacy/Mixed,Yes,"Needs token + component mapping"
App Shell,Topbar background,Top application strip,"app/layout.tsx inline styles + assets/css/components.css",Legacy/Mixed,Yes,"Currently partly inline"
App Shell,Sidebar brand area,Logo + app name block,"app/layout.tsx",Legacy,Yes,"Needs standardized spacing/color/logo treatment"
Navigation,Section label,Operations / Configuration / System labels,"app/layout.tsx inline styles",Legacy,Yes,"Should become one nav section component style"
Navigation,Nav link,Sidebar links,"app/layout.tsx + assets/css/components.css",Legacy/Mixed,Yes,"Normal/hover/active states need standard rules"
Navigation,Active nav link,Current route indicator,"app/layout.tsx",Missing/Weak,Yes,"Should be explicitly designed"
Branding,Logo mark,Brand square/logo asset,"app/layout.tsx placeholder square",Temporary,Yes,"Future control panel should allow visual changes, not placement"
Page Structure,Page container width,Controls content max width,"page-specific",Mixed,Yes,"Needs narrow/standard/wide rules"
Page Structure,Page padding,Top/bottom/side spacing,"page-specific + content wrapper",Mixed,Yes,"Should become a scale"
Page Structure,Section spacing,Space between page sections,"page-specific",Mixed,Yes,"Needs one spacing system"
Header,Page title,Primary page heading,"components/ui/PageHeader or .page-title",Mixed,Yes,"Font, weight, color, spacing should be global"
Header,Page subtitle/description,Supporting copy under title,"PageHeader or .page-subtitle",Mixed,Yes,"Needs one style"
Header,Header action row,Top-right page actions,"PageHeader actions or page-level flex rows",Mixed,Yes,"Placement stays page-local; style should be standard"
Header,Back link / back button,Return navigation,"various links/buttons",Mixed,Yes,"One visual pattern, maybe multiple semantic variants"
Cards,Base card,Default surface container,"components/ui/Card or .card",Mixed,Yes,"Should converge on one base card"
Cards,Section card,Card with title and optional description,"components/ui/SectionCard",Shared,Yes,"Good candidate to keep"
Cards,Stat card,Metric summary block,"components/ui/StatCard",Shared,Yes,"Needs clear token rules"
Cards,Detail card,Entity detail sections,"Card + DetailField or custom sections",Mixed,Yes,"Likely built from Card + DetailField"
Cards,Interactive card,Clickable dashboard/list card,"dashboard cards, package cards, service cards",Mixed,Yes,"Needs hover/focus rule"
Data Display,Detail field label,Small label before value,"components/ui/DetailField or .field-label",Mixed,Yes,"Should become one system"
Data Display,Detail field value,Displayed field value,"DetailField or .field-value",Mixed,Yes,"One text hierarchy"
Data Display,Muted field value,Secondary detail text,".field-value-muted or text-muted-foreground",Mixed,Yes,"One token path"
Status,Badge / pill,Status and meta chip,"components/ui/Badge or custom spans",Mixed,Yes,"Success/warning/danger/info/neutral only"
Status,Status badge,Entity lifecycle state,"Badge, ExpenseCategoryStatusBadge, custom text",Mixed,Yes,"Should map to shared badge variants"
Buttons,Primary button,Main confirm/create action,"components/ui/Button variant=default or .btn/.btn-primary",Mixed,Yes,"One appealing default across app"
Buttons,Secondary button,Alternative non-destructive action,"Button secondary/outline or .btn-secondary",Mixed,Yes,"Need exact usage rules"
Buttons,Ghost button,Low-emphasis action,"Button ghost or .btn-ghost",Mixed,Yes,"Useful for back/cancel/view"
Buttons,Destructive button,Danger action,"Button destructive or .btn-danger",Mixed,Yes,"Needs careful use"
Buttons,Outline button,Neutral framed action,"Button outline",Shared,Yes,"Should cover many old .btn-secondary uses"
Buttons,Icon button,Icon-only action,"Button size=icon",Partial,Yes,"Define only if truly needed"
Forms,Field label,Label above/beside field,"components/ui/Label, native label, .field-label, FormInput label",Mixed,Yes,"Must be accessible and visually unified"
Forms,Text input,Single-line text field,"components/ui/Input or native input/.input/FormInput",Mixed,Yes,"One source of truth"
Forms,Textarea,Multi-line field,"components/ui/Textarea or native textarea",Mixed,Yes,"One source of truth"
Forms,Select (native),Simple browser select,"native select/.input",Mixed,Yes,"Need when native select is acceptable"
Forms,Select (custom/Radix),Enhanced select,"components/ui/Select",Shared,Yes,"Needs exact usage rules"
Forms,Checkbox,Boolean toggle,"components/ui/Checkbox or native checkbox",Mixed,Yes,"Style and label alignment need rules"
Forms,Date input,Date entry,"native input[type=date]",Mixed,Yes,"Token alignment with other fields"
Forms,File input,Uploads like company logo,"native file input in CompanySettingsForm",Custom,Yes,"Needs styling policy"
Forms,Field help text,Explanatory helper copy,"custom text / FormInput hint",Mixed,Yes,"One size/color/spacing rule"
Forms,Field error text,Validation message,"Alert or inline error box",Mixed,Yes,"One inline form error pattern"
Forms,Disabled field state,Non-interactive fields,"various",Mixed,Yes,"Needs global visual rule"
Forms,Readonly field state,Read-only fields,"various",Mixed,Yes,"Needs global visual rule"
Lists & Tables,Compact table,Reference-data listing,"settings categories/vendors",Custom but repeated,Yes,"3-5 columns with right-side actions"
Lists & Tables,Operational table,High-density business listing,"clients/properties/tasks/billing",Mixed,Yes,"Needs filter/search/header consistency"
Lists & Tables,Card/list row,Non-table row display,"related-list / dashboard rows / details related items",Mixed,Yes,"Useful when tables are too wide"
Lists & Tables,Table header row,Column header styling,"custom per page",Mixed,Yes,"Needs token rules"
Lists & Tables,Row action area,Edit/Disable/View buttons on rows,"custom per page",Mixed,Yes,"Needs spacing/button rules"
Lists & Tables,Search/filter bar,List control area,"custom per page",Mixed,Yes,"One standard composition"
Feedback,Alert message,Success/error/warning information,"components/ui/Alert or custom boxes",Mixed,Yes,"Should use shared Alert"
Feedback,Toast,Transient feedback,"components/ui/toast",Shared but limited,Yes,"Need final usage decision"
Feedback,Empty state,No-data / no-results screen,"components/ui/EmptyState or inline text",Mixed,Yes,"Should standardize"
Feedback,Modal/dialog,Confirmation and popups,"components/ui/Modal + alert-dialog + native confirm",Mixed,Yes,"Need one confirmation strategy"
Typography,Section title,Card/section subheading,"CardTitle / .section-title / custom h2/h3",Mixed,Yes,"One semantic hierarchy"
Typography,Body text,Standard paragraph text,"page-specific",Mixed,Yes,"Should be token-driven"
Typography,Muted text,Secondary explanatory text,"text-muted-foreground / .page-subtitle / inline opacity",Mixed,Yes,"One path"
Reports/PDF,PDF visual header,Invoice/contract document chrome,"billing/subscription pdf routes",Custom,Yes,"Separate print system but same brand tokens"
Theme Control,Theme tokens,Global colors/radius/surfaces,"assets/css/tokens.css + app/globals.css",Duplicated,Yes,"Must converge before control panel"
Theme Control,Appearance control panel,Future admin UI to change visuals globally,Not built yet,Planned,Yes,"Should edit tokens/components, not page layout"

